Name,Class_Type,Namespace,Brick_Type,Location,Unit,ID
Chilled_Water_Pump_Secondary_1_Power_Consumption_Sensor,Sensor,BRICK,Electrical_Power_Sensor,Chilled_Water_Pump_Secondary_1,KiloW-HR,CHWPS1_KWH
Chilled_Water_Pump_Secondary_2_Power_Consumption_Sensor,Sensor,BRICK,Electrical_Power_Sensor,Chilled_Water_Pump_Secondary_2,KiloW-HR,CHWPS2_KWH
Chilled_Water_Pump_Secondary_3_Power_Consumption_Sensor,Sensor,BRICK,Electrical_Power_Sensor,Chilled_Water_Pump_Secondary_3,KiloW-HR,CHWPS3_KWH
Chilled_Water_Pump_Secondary_4_Power_Consumption_Sensor,Sensor,BRICK,Electrical_Power_Sensor,Chilled_Water_Pump_Secondary_4,KiloW-HR,CHWPS4_KWH
Chilled_Water_Pump_Secondary_5_Power_Consumption_Sensor,Sensor,BRICK,Electrical_Power_Sensor,Chilled_Water_Pump_Secondary_5,KiloW-HR,CHWPS5_KWH
Chilled_Water_Pump_Secondary_6_Power_Consumption_Sensor,Sensor,BRICK,Electrical_Power_Sensor,Chilled_Water_Pump_Secondary_6,KiloW-HR,CHWPS6_KWH
Chilled_Water_Pump_Secondary_7_Power_Consumption_Sensor,Sensor,BRICK,Electrical_Power_Sensor,Chilled_Water_Pump_Secondary_7,KiloW-HR,CHWPS7_KWH
Chilled_Water_Pump_Secondary_8_Power_Consumption_Sensor,Sensor,BRICK,Electrical_Power_Sensor,Chilled_Water_Pump_Secondary_8,KiloW-HR,CHWPS8_KWH
Chilled_Water_Pump_Secondary_0_Frequency_Sensor,Sensor,BRICK,Frequency_Sensor,Chilled_Water_Pump_Secondary_0,HZ,CDWPS0_HZ
Chilled_Water_Pump_Secondary_1_Frequency_Sensor,Sensor,BRICK,Frequency_Sensor,Chilled_Water_Pump_Secondary_1,HZ,CDWPS1_HZ
Chilled_Water_Pump_Secondary_2_Frequency_Sensor,Sensor,BRICK,Frequency_Sensor,Chilled_Water_Pump_Secondary_2,HZ,CDWPS2_HZ
Chilled_Water_Pump_Secondary_3_Frequency_Sensor,Sensor,BRICK,Frequency_Sensor,Chilled_Water_Pump_Secondary_3,HZ,CDWPS3_HZ
Chilled_Water_Pump_Secondary_4_Frequency_Sensor,Sensor,BRICK,Frequency_Sensor,Chilled_Water_Pump_Secondary_4,HZ,CDWPS4_HZ
Chilled_Water_Pump_Secondary_5_Frequency_Sensor,Sensor,BRICK,Frequency_Sensor,Chilled_Water_Pump_Secondary_5,HZ,CDWPS5_HZ
Chilled_Water_Pump_Secondary_6_Frequency_Sensor,Sensor,BRICK,Frequency_Sensor,Chilled_Water_Pump_Secondary_6,HZ,CDWPS6_HZ
Chilled_Water_Pump_Secondary_7_Frequency_Sensor,Sensor,BRICK,Frequency_Sensor,Chilled_Water_Pump_Secondary_7,HZ,CDWPS7_HZ
Chilled_Water_Pump_Secondary_8_Frequency_Sensor,Sensor,BRICK,Frequency_Sensor,Chilled_Water_Pump_Secondary_8,HZ,CDWPS8_HZ
Condenser_Water_Return_Header_Temperature_Sensor,Sensor,EXT,Temperature_Sensor,Condenser_Water_Return_Header,DEG_C,CDWR_HDR_T
Condenser_Water_Return_Header_Pressure_Sensor,Sensor,EXT,Pressure_Sensor,Condenser_Water_Return_Header,PSI,CDWR_HDR_P
Condenser_Water_Supply_Header_Temperature_Sensor,Sensor,EXT,Temperature_Sensor,Condenser_Water_Supply_Header,DEG_C,CDWS_HDR_T
Condenser_Water_Supply_Header_Pressure_Sensor,Sensor,EXT,Pressure_Sensor,Condenser_Water_Supply_Header,PSI,CDWS_HDR_P
Chilled_Water_Return_Header_1_Temperature_Sensor,Sensor,EXT,Temperature_Sensor,Chilled_Water_Return_Header_1,DEG_C,CHWR_HDR1_T
Chilled_Water_Return_Header_2_Temperature_Sensor,Sensor,EXT,Temperature_Sensor,Chilled_Water_Return_Header_2,DEG_C,CHWR_HDR2_T
Chilled_Water_Supply_Header_1_Pressure_Sensor,Sensor,EXT,Pressure_Sensor,Chilled_Water_Supply_Header_1,PSI,CHWR_HDR1_P
Chilled_Water_Supply_Header_2_Pressure_Sensor,Sensor,EXT,Pressure_Sensor,Chilled_Water_Supply_Header_2,PSI,CHWR_HDR2_P
